"Version1","Version1.4","Version2.1","Version3.1","UniProt","PANTHER"
"Sb10g005770","Sb10g005770","Sobic.010G066700","Sobic.010G066700","C5Z5T7","PTHR31642"
"Sb10g005890","Sb10g005890","Sobic.010G067700","Sobic.010G067700","C5Z5U8","PTHR33494"
"Sb10g005950","Sb10g005950","Sobic.010G068300","Sobic.010G068300","C5Z5V5","PTHR11926"
"Sb10g006280","Sb10g006280","Sobic.010G071900","null","C5Z5Y5","PTHR11695"
"Sb10g006290","Sb10g006290","Sobic.010G072000","Sobic.010G072000","C5Z5Y6","PTHR11695"
"Sb10g006330","Sb10g006330","Sobic.010G072300","Sobic.010G072300","null",""
"Sb10g006420","Sb10g006420","Sobic.010G073300","null","C5Z5Z7","PTHR31008"
"Sb10g006590","Sb10g006590","Sobic.010G075600","Sobic.010G075600","C5Z616",""
"Sb10g007320","Sb10g007320","Sobic.010G084600","Sobic.010G084600","C5Z6J8","PTHR22893"
"Sb10g007940","Sb10g007940","Sobic.010G091300","Sobic.010G091300","null","PTHR10774"
"Sb10g007980","Sb10g007980","Sobic.010G091600","Sobic.010G091600","C5Z720","PTHR10168"
"Sb10g008850","Sb10g008850","Sobic.010G101600","Sobic.010G101600","C5Z7L1","PTHR13697"
"Sb10g008890","Sb10g008890","Sobic.010G102000","Sobic.010G102000","C5Z7L5","PTHR22849"
"Sb10g009065","Sb10g009065","Sobic.010G104000","Sobic.010G104000","C5Z7Y3","PTHR11649"
"Sb10g009170","Sb10g009170","Sobic.010G105000","Sobic.010G105000","C5Z7Z7","PTHR31495"
"Sb10g009220","Sb10g009220","Sobic.010G105300","Sobic.010G105300","C5Z802","PTHR12629"
"Sb10g009250","Sb10g009250","Sobic.010G105800","Sobic.010G105800","C5Z806","PTHR21493"
"Sb10g009720","Sb10g009720","Sobic.010G112200","Sobic.010G112200","null",""
"Sb10g010660","Sb10g010660","Sobic.010G120800","Sobic.010G120800","C5Z8Z1","PTHR27000"
"Sb10g010750","Sb10g010750","Sobic.010G122000","Sobic.010G122000","C5Z902","PTHR31964"
"Sb10g011733","null","Sobic.010G128900","null","C5Z1J9",""
"Sb10g012265","Sb10g012265","Sobic.010G133000","Sobic.010G133000","C5Z1Q0","PTHR33493"
"Sb10g017780","Sb10g017780","Sobic.010G142900","Sobic.010G142900","C5Z310","PTHR33203"
"Sb10g019360","Sb10g019360","Sobic.010G146100","Sobic.010G146100","C5Z347","PTHR19139"
"Sb10g020540","Sb10g020540","Sobic.010G153600","Sobic.010G153600","C5Z3M5","PTHR24015"
"Sb10g020550","Sb10g020550","Sobic.010G153700","Sobic.010G153700","C5Z3M6","PTHR10217"
"Sb10g021330","Sb10g021330","Sobic.010G160700","Sobic.010G160700","C5Z450","PTHR30523"
"Sb10g021690","Sb10g021690","Sobic.010G162900","Sobic.010G162900","C5Z483","PTHR32448"
"Sb10g021980","Sb10g021980","Sobic.010G166500","Sobic.010G166500","C5Z4L1","PTHR22950"
"Sb10g022090","Sb10g022090","Sobic.010G167900","Sobic.010G167900","C5Z4N0","PTHR10682"
"Sb10g022105","Sb10g022105","Sobic.010G168100","Sobic.010G168100","C5Z4N2","PTHR33172"
"Sb10g022190","Sb10g022190","Sobic.010G169000","Sobic.010G169000","C5Z4P2","PTHR24223"
"Sb10g022780","Sb10g022780","Sobic.010G175800","Sobic.010G175800","C5Z557","PTHR11260"
"Sb10g022900","Sb10g022900","Sobic.010G177200","Sobic.010G177200","C5Z568","PTHR24012"
"Sb10g022990","Sb10g022990","Sobic.010G178200","Sobic.010G178200","C5Z579","PTHR10681"
"Sb10g023010","Sb10g023010","Sobic.010G178500","Sobic.010G178500","C5Z581","PTHR10245"
"Sb10g023140","Sb10g023140","Sobic.010G179800","Sobic.010G179800","C5Z595",""
"Sb10g023370","Sb10g023370","Sobic.010G182700","Sobic.010G182700","C5Z5K8","PTHR24071"
"Sb10g023380","Sb10g023380","null","Sobic.010G182966","C5Z5L0","PTHR24282"
"Sb10g023400","Sb10g023400","Sobic.010G183400","Sobic.010G183400","C5Z5L1","PTHR15467"
"Sb10g023620","Sb10g023620","Sobic.010G185500","Sobic.010G185500","C5Z5N6","PTHR34667"
"Sb10g024520","Sb10g024520","Sobic.010G195800","Sobic.010G195800","C5Z672","PTHR10366"
"Sb10g024660","Sb10g024660","Sobic.010G197500","Sobic.010G197500","C5Z687","PTHR30540"
"Sb10g024750","Sb10g024750","Sobic.010G198800","Sobic.010G198800","C5Z699","PTHR33228"
"Sb10g024950","Sb10g024950","Sobic.010G201400","Sobic.010G201388","C5Z6L0","PTHR10641"
"Sb10g024960","Sb10g024960","Sobic.010G201500","null","C5Z6L2","PTHR23102"
"Sb10g025150","Sb10g025150","Sobic.010G204100","Sobic.010G204100","C5Z6N2","PTHR31245"
"Sb10g025700","Sb10g025700","Sobic.010G210300","Sobic.010G210300","C5Z6U6","PTHR10766"
"Sb10g025710","Sb10g025710","Sobic.010G210400","Sobic.010G210400","C5Z738",""
"Sb10g025780","Sb10g025780","Sobic.010G211100","Sobic.010G211100","C5Z745",""
"Sb10g025880","Sb10g025880","Sobic.010G212100","Sobic.010G212100","C5Z755","PTHR10366"
"Sb10g026150","Sb10g026150","Sobic.010G215100","Sobic.010G215100","C5Z785","PTHR32467"
"Sb10g026350","Sb10g026350","null","Sobic.010G217532","C5Z7A5","PTHR31717"
"Sb10g026450","Sb10g026450","Sobic.010G218500","Sobic.010G218500","C5Z7B6","PTHR22952"
"Sb10g026600","Sb10g026600","Sobic.010G220600","Sobic.010G220600","C5Z7M7","PTHR24093"
"Sb10g026640","Sb10g026640","null","Sobic.010G221032","null",""
"Sb10g026710","Sb10g026710","Sobic.010G221800","Sobic.010G221800","null",""
"Sb10g026910","Sb10g026910","Sobic.010G224000","Sobic.010G224000","C5Z7Q9","PTHR14237"
"Sb10g027070","Sb10g027070","Sobic.010G226400","Sobic.010G226400","C5Z7S7","PTHR33120"
"Sb10g027560","Sb10g027560","Sobic.010G233400","null","null",""
"Sb10g027770","Sb10g027770","Sobic.010G236100","Sobic.010G236100","null",""
"Sb10g028170","Sb10g028170","Sobic.010G241500","Sobic.010G241500","C5Z8P4","PTHR27000"
"Sb10g028510","Sb10g028510","Sobic.010G246000","Sobic.010G246000","C5Z8S8","PTHR22937"
"Sb10g028570","Sb10g028570","Sobic.010G246600","Sobic.010G246600","C5Z8T4","PTHR31062"
"Sb10g028690","Sb10g028690","Sobic.010G248200","Sobic.010G248200","C5Z8U6","PTHR33172"
"Sb10g028700","Sb10g028700","null","Sobic.010G248301","C5Z8U7","PTHR21266"
"Sb10g028710","Sb10g028710","Sobic.010G248800","Sobic.010G248800","C5Z8U8","PTHR10994"
"Sb10g028890","Sb10g028890","Sobic.010G250600","Sobic.010G250600","C5Z8W6","PTHR33052"
"Sb10g029280","Sb10g029280","Sobic.010G255300","Sobic.010G255300","C5Z999","PTHR10366"
"Sb10g029370","Sb10g029370","Sobic.010G256500","Sobic.010G256500","C5Z9B1","PTHR11102"
"Sb10g029980","Sb10g029980","Sobic.010G263500","null","C5Z1T8","PTHR33085"
"Sb10g030080","Sb10g030080","Sobic.010G265500","Sobic.010G265500","C5Z1U9",""
"Sb10g030090","Sb10g030090","Sobic.010G265600","Sobic.010G265600","C5Z1V0","PTHR33059"
"Sb10g030110","Sb10g030110","Sobic.010G265800","Sobic.010G265800","C5Z1V2","PTHR27001"
"Sb10g030200","Sb10g030200","Sobic.010G267000","Sobic.010G267000","C5Z1W0",""
"Sb10g030520","Sb10g030520","Sobic.010G270300","Sobic.010G270300","C5Z1Z3","PTHR12231"
"Sb10g030900","Sb10g030900","Sobic.010G275100","Sobic.010G275100","null",""
"Sb10g030990","Sb10g030990","Sobic.010G276000","Sobic.010G276000","C5Z2K8","PTHR14155"
"Sb10g031110","Sb10g031110","Sobic.010G277500","Sobic.010G277500","C5Z2L7","PTHR32010"
"Sb09g000210","Sb09g000210","Sobic.009G000200","Sobic.009G000200","C5YXW9","PTHR24092"
"Sb09g000360","Sb09g000360","Sobic.009G001600","Sobic.009G001600","C5YXY4","PTHR33454"
"Sb09g000550","Sb09g000550","Sobic.009G003900","Sobic.009G003900","C5YY07","PTHR24073"
"Sb09g000570","Sb09g000570","Sobic.009G004200","Sobic.009G004200","C5YY09","PTHR33199"
"Sb09g000810","Sb09g000810","Sobic.009G006700","Sobic.009G006700","C5YY36","PTHR10263"
"Sb09g001070","Sb09g001070","Sobic.009G009900","Sobic.009G009900","C5YYF5","PTHR33091"
"Sb09g001500","Sb09g001500","Sobic.009G015700","Sobic.009G015700","C5YYL3","PTHR11913"
"Sb09g001750","Sb09g001750","Sobic.009G019200","null","C5YYY2",""
"Sb09g001870","Sb09g001870","Sobic.009G021400","Sobic.009G021400","C5YYZ4","PTHR21495"
"Sb09g001970","Sb09g001970","Sobic.009G023200","Sobic.009G023200","C5YZ07","PTHR31248"
"Sb09g002225","Sb09g002225","Sobic.009G026500","Sobic.009G026500","C5YZ39","PTHR10782"
"Sb09g002250","Sb09g002250","Sobic.009G026900","Sobic.009G026900","C5YZ43","PTHR27001"
"Sb09g002270","Sb09g002270","Sobic.009G027200","Sobic.009G027200","C5YZ45","PTHR32191"
"Sb09g002370","Sb09g002370","Sobic.009G028300","Sobic.009G028300","C5YZ56","PTHR10032"
"Sb09g002380","Sb09g002380","Sobic.009G028400","Sobic.009G028400","C5YZ57","PTHR37196"
"Sb09g002550","Sb09g002550","Sobic.009G030600","Sobic.009G030600","C5YZG6","PTHR27002"
"Sb09g002620","Sb09g002620","Sobic.009G031200","Sobic.009G031200","C5YZH3","PTHR34188"
"Sb09g002910","Sb09g002910","Sobic.009G034300","Sobic.009G034300","C5YZK0","PTHR31147"
"Sb09g002950","Sb09g002950","Sobic.009G034600","Sobic.009G034600","C5YZK4","PTHR11780"
"Sb09g003060","Sb09g003060","Sobic.009G036100","Sobic.009G036100","C5YZL6","PTHR21659"
"Sb09g003150","Sb09g003150","Sobic.009G037100","Sobic.009G037100","C5YZM4","PTHR24322"
"Sb09g003700","Sb09g003700","Sobic.009G043700","Sobic.009G043700","C5Z027","PTHR11260"
"Sb09g003860","Sb09g003860","Sobic.009G045200","Sobic.009G045200","C5Z045","PTHR10910"
"Sb09g003960","Sb09g003960","Sobic.009G046200","Sobic.009G046200","C5Z056","PTHR10057"
"Sb09g004690","Sb09g004690","Sobic.009G055800","null","C5Z0P3","PTHR14154"
"Sb09g004850","Sb09g004850","Sobic.009G057400","Sobic.009G057400","C5Z101","PTHR11504"
"Sb09g005430","Sb09g005430","Sobic.009G065000","Sobic.009G065000","C5Z169","PTHR31734"
"Sb09g005570","Sb09g005570","Sobic.009G066900","Sobic.009G066900","C5YU66","PTHR19375"
"Sb09g005650","Sb09g005650","Sobic.009G068400","Sobic.009G068400","C5YU80","PTHR13711"
"Sb09g005810","Sb09g005810","Sobic.009G069600","Sobic.009G069600","C5YU98","PTHR23406"
"Sb09g005840","Sb09g005840","Sobic.009G069800","Sobic.009G069800","C5YUA1","PTHR19443"
"Sb09g005910","Sb09g005910","Sobic.009G070400","Sobic.009G070400","C5YUB1","PTHR12626"
"Sb09g006030","Sb09g006030","Sobic.009G071800","Sobic.009G071800","C5YUD1","PTHR13697"
"Sb09g008180","Sb09g008180","Sobic.009G088800","Sobic.009G088800","C5YVA1","PTHR11825"
"Sb09g008890","Sb09g008890","Sobic.009G090800","Sobic.009G090800","C5YVC5","PTHR10174"
"Sb09g015900","Sb09g015900","Sobic.009G100500","Sobic.009G100500","null",""
"Sb09g015910","Sb09g015910","Sobic.009G100800","Sobic.009G100800","C5YW80","PTHR33790"
"Sb09g016830","Sb09g016830","Sobic.009G104600","Sobic.009G104600","Q0MRQ9","PTHR34671"
"Sb09g017110","Sb09g017110","Sobic.009G105300","Sobic.009G105300","C5YWD8","PTHR23012"
"Sb09g017130","Sb09g017130","Sobic.009G105500","Sobic.009G105500","C5YWD9","PTHR27002"
"Sb09g017860","Sb09g017860","Sobic.009G110200","Sobic.009G110200","C5YWS6",""
"Sb09g017880","Sb09g017880","Sobic.009G110400","Sobic.009G110400","C5YWS9",""
"Sb09g017950","Sb09g017950","Sobic.009G111200","Sobic.009G111200","C5YWT9","PTHR31190"
"Sb09g018180","Sb09g018180","Sobic.009G114000","Sobic.009G114000","null",""
"Sb09g018200","Sb09g018200","Sobic.009G114500","Sobic.009G114500","C5YWW8","PTHR13622"
"Sb09g018930","Sb09g018930","Sobic.009G121600","Sobic.009G121600","C5YXD3","PTHR24296"
"Sb09g019170","Sb09g019170","Sobic.009G123900","Sobic.009G123900","C5YXG6","PTHR23105"
"Sb09g019530","Sb09g019530","Sobic.009G128700","Sobic.009G128700","C5YXL1",""
"Sb09g019880","Sb09g019880","Sobic.009G132400","Sobic.009G132400","C5YXP7","PTHR19321"
"Sb09g020080","Sb09g020080","Sobic.009G134600","Sobic.009G134600","null",""
"Sb09g020230","Sb09g020230","Sobic.009G136400","Sobic.009G136400","C5YXT7","PTHR23024"
"Sb09g020300","Sb09g020300","Sobic.009G136900","Sobic.009G136900","C5YXU4","PTHR11654"
"Sb09g020690","Sb09g020690","Sobic.009G141500","Sobic.009G141500","C5YY62","PTHR31985"
"Sb09g020740","Sb09g020740","Sobic.009G142100","Sobic.009G142100","C5YY66","PTHR31676"
"Sb09g020750","Sb09g020750","Sobic.009G142200","Sobic.009G142200","C5YY67","PTHR31719"
"Sb09g020850","Sb09g020850","Sobic.009G143400","Sobic.009G143400","C5YY78","PTHR31636"
"Sb09g020860","Sb09g020860","Sobic.009G143500","Sobic.009G143500","C5YY79","PTHR10791"
"Sb09g021080","Sb09g021080","Sobic.009G146000","Sobic.009G146000","C5YYA5","PTHR11214"
"Sb09g021420","Sb09g021420","Sobic.009G150000","Sobic.009G150000","null",""
"Sb09g021590","Sb09g021590","Sobic.009G152200","Sobic.009G152200","C5YYQ1","PTHR16517"
"Sb09g021680","Sb09g021680","Sobic.009G153300","Sobic.009G153300","C5YYR3",""
"Sb09g021800","Sb09g021800","Sobic.009G154600","Sobic.009G154600","C5YYS5","PTHR32227"
"Sb09g021810","Sb09g021810","Sobic.009G154700","Sobic.009G154700","C5YYS6","PTHR19370"
"Sb09g021850","Sb09g021850","Sobic.009G155200","Sobic.009G155200","C5YYT0",""
"Sb09g021990","Sb09g021990","Sobic.009G156600","Sobic.009G156600","C5YYU5","PTHR22950"
"Sb09g022010","Sb09g022010","Sobic.009G156900","Sobic.009G156900","C5YYU9","PTHR26312"
"Sb09g022100","Sb09g022100","Sobic.009G157800","Sobic.009G157800","C5YYV8","PTHR23500"
"Sb09g022110","Sb09g022110","Sobic.009G157900","Sobic.009G157900","C5YYV9","PTHR34686"
"Sb09g022210","Sb09g022210","Sobic.009G159200","Sobic.009G159200","C5YZ62","PTHR31400"
"Sb09g022220","Sb09g022220","Sobic.009G159300","Sobic.009G159300","C5YZ63","PTHR12606"
"Sb09g022400","Sb09g022400","Sobic.009G161700","Sobic.009G161700","C5YZ82","PTHR35308"
"Sb09g022830","Sb09g022830","Sobic.009G166400","Sobic.009G166400","C5YZC2","PTHR11630"
"Sb09g022910","Sb09g022910","Sobic.009G167400","Sobic.009G167400","C5YZD0","PTHR31631"
"Sb09g023050","Sb09g023050","Sobic.009G168900","Sobic.009G168900","C5YZE4","PTHR14155"
"Sb09g023060","Sb09g023060","Sobic.009G169000","Sobic.009G169000","C5YZE5","PTHR18968"
"Sb09g023180","Sb09g023180","Sobic.009G170700","Sobic.009G170700","C5YZP9","PTHR31213"
"Sb09g023210","Sb09g023210","Sobic.009G171000","Sobic.009G171000","C5YZQ2","PTHR12542"
"Sb09g023280","Sb09g023280","Sobic.009G171700","Sobic.009G171700","C5YZQ7","PTHR31045"
"Sb09g023300","Sb09g023300","Sobic.009G172400","Sobic.009G172400","null",""
"Sb09g023320","Sb09g023320","Sobic.009G172600","Sobic.009G172600","C5YZR1","PTHR21576"
"Sb09g023520","Sb09g023520","Sobic.009G174500","Sobic.009G174500","C5YZT4","PTHR27003"
"Sb09g023810","Sb09g023810","Sobic.009G177800","Sobic.009G177800","C5YZW7","PTHR33474"
"Sb09g023830","Sb09g023830","Sobic.009G178000","Sobic.009G178000","C5YZW9","PTHR31499"
"Sb09g024060","Sb09g024060","Sobic.009G180200","Sobic.009G180200","C5Z085","PTHR10343"
"Sb09g024170","Sb09g024170","Sobic.009G181400","Sobic.009G181400","C5Z097","PTHR34193"
"Sb09g024210","Sb09g024210","Sobic.009G181800","Sobic.009G181800","C5Z0A1","PTHR24298"
"Sb09g024230","Sb09g024230","Sobic.009G182000","Sobic.009G182000","C5Z0A3","PTHR11413"
"Sb09g024300","Sb09g024300","Sobic.009G183200","Sobic.009G183200","C5Z0B0","PTHR24093"
"Sb09g024400","Sb09g024400","Sobic.009G184400","Sobic.009G184400","C5Z0C2","PTHR31677"
"Sb09g024430","Sb09g024430","Sobic.009G184700","Sobic.009G184700","C5Z0C6","PTHR10825"
"Sb09g024850","Sb09g024850","null","Sobic.009G189501","C5Z0R2","PTHR34114"
"Sb09g025050","Sb09g025050","Sobic.009G191700","Sobic.009G191700","C5Z0T3","PTHR11564"
"Sb09g025290","Sb09g025290","Sobic.009G194500","Sobic.009G194500","C5Z0V8","PTHR33835"
"Sb09g025660","Sb09g025660","Sobic.009G198900","null","C5Z0Z7","PTHR10788"
"Sb09g026090","Sb09g026090","Sobic.009G203600","Sobic.009G203600","C5Z1D4","PTHR27000"
"Sb09g026130","Sb09g026130","Sobic.009G204100","Sobic.009G204100","C5Z1D8","PTHR33172"
"Sb09g026141","Sb09g026141","Sobic.009G204300","Sobic.009G204300","C5Z1E0","PTHR27003"
"Sb09g026180","Sb09g026180","Sobic.009G204900","Sobic.009G204900","C5Z1E6","PTHR27003"
"Sb09g026440","Sb09g026440","Sobic.009G208000","Sobic.009G208000","C5Z1H3","PTHR10015"
"Sb09g026560","Sb09g026560","Sobic.009G209200","Sobic.009G209200","C5YUG1","PTHR23416"
"Sb09g026580","Sb09g026580","Sobic.009G209400","ubiquinone] iron-sulfur protein 7, mitochondrial","C5YUG3","PTHR11995"
"Sb09g027080","Sb09g027080","Sobic.009G215400","Sobic.009G215400","null",""
"Sb09g027110","Sb09g027110","Sobic.009G215700","Sobic.009G215700","null",""
"Sb09g027260","Sb09g027260","Sobic.009G217500","Sobic.009G217500","C5YUX7","PTHR24361"
"Sb09g027270","Sb09g027270","Sobic.009G217600","Sobic.009G217600","C5YUX8","PTHR24361"
"Sb09g027520","Sb09g027520","Sobic.009G221200","Sobic.009G221200","C5YV06",""
"Sb09g027530","Sb09g027530","Sobic.009G221400","Sobic.009G221400","C5YV07","PTHR31140"
"Sb09g027610","Sb09g027610","Sobic.009G222100","Sobic.009G222100","C5YV15","PTHR27005"
"Sb09g027770","Sb09g027770","Sobic.009G224200","Sobic.009G224200","C5YV32","PTHR33052"
"Sb09g027830","Sb09g027830","Sobic.009G224800","Sobic.009G224800","C5YVC8","PTHR11206"
"Sb09g027950","Sb09g027950","Sobic.009G226300","null","C5YVE2","PTHR10209"
"Sb09g028080","Sb09g028080","Sobic.009G227800","Sobic.009G227800","C5YVF8","PTHR33199"
"Sb09g028260","Sb09g028260","Sobic.009G229700","Sobic.009G229700","C5YVH5","PTHR34787"
"Sb09g028290","Sb09g028290","Sobic.009G230000","Sobic.009G230000","C5YVH9","PTHR22952"
"Sb09g028300","Sb09g028300","Sobic.009G230100","Sobic.009G230100","null",""
"Sb09g028410","Sb09g028410","Sobic.009G231400","Sobic.009G231400","C5YVI9","PTHR24078"
"Sb09g028500","Sb09g028500","null","Sobic.009G232266","C5YVJ9","PTHR10168"
"Sb09g028860","Sb09g028860","Sobic.009G236100","Sobic.009G236100","C5YVX8","PTHR31561"
"Sb09g028930","Sb09g028930","Sobic.009G236800","Sobic.009G236800","C5YVY6","PTHR33095"
"Sb09g028990","Sb09g028990","Sobic.009G237600","Sobic.009G237600","C5YVZ3","PTHR22952"
"Sb09g029050","Sb09g029050","Sobic.009G238200","Sobic.009G238200","C5YVZ9","PTHR32096"
"Sb09g029070","Sb09g029070","Sobic.009G238500","Sobic.009G238500","C5YW01","PTHR31657"
"Sb09g029080","Sb09g029080","Sobic.009G238600","Sobic.009G238600","C5YW02","PTHR13832"
"Sb09g029180","Sb09g029180","Sobic.009G240000","Sobic.009G240000","C5YW14","PTHR23315"
"Sb09g029300","Sb09g029300","Sobic.009G241300","null","C5YW28","PTHR37210"
"Sb09g029320","Sb09g029320","Sobic.009G241500","Sobic.009G241500","C5YW30","PTHR33702"
"Sb09g029350","Sb09g029350","Sobic.009G241900","Sobic.009G241900","C5YW34","PTHR33203"
"Sb09g029440","Sb09g029440","Sobic.009G242800","Sobic.009G242800","C5YW43","PTHR23257"
"Sb09g029480","Sb09g029480","Sobic.009G243200","Sobic.009G243200","C5YW47","PTHR33095"
"Sb09g029490","Sb09g029490","Sobic.009G243400","Sobic.009G243400","C5YW48","PTHR10366"
"Sb09g029640","Sb09g029640","Sobic.009G245400","Sobic.009G245400","C5YWF7","PTHR12585"
"Sb09g029810","Sb09g029810","Sobic.009G247300","null","C5YWH5","PTHR31221"
"Sb09g029870","Sb09g029870","Sobic.009G248000","Sobic.009G248000","C5YWI7","PTHR31852"
"Sb09g030190","Sb09g030190","Sobic.009G251300","Sobic.009G251300","C5YWM3","PTHR34199"
"Sb09g030310","Sb09g030310","Sobic.009G252400","Sobic.009G252400","C5YWX5","PTHR23070"
"Sb09g030320","Sb09g030320","Sobic.009G252500","Sobic.009G252500","C5YWX6","PTHR23070"
"Sb09g030530","Sb09g030530","Sobic.009G255100","Sobic.009G255100","null",""
"Sb09g030570","Sb09g030570","Sobic.009G255500","Sobic.009G255500","C5YX00","PTHR22966"
"Sb09g030770","Sb09g030770","Sobic.009G258100","Sobic.009G258100","C5YX25","PTHR13018"
"Sb09g030780","Sb09g030780","Sobic.009G258300","Sobic.009G258300","C5YX26","PTHR31304"
"Sb08g000510","Sb08g000510","Sobic.008G004200","Sobic.008G004200","C5YQ19","PTHR31314"
"Sb08g001260","Sb08g001260","Sobic.008G014100","Sobic.008G014100","C5YQK4","PTHR24093"
"Sb08g001430","Sb08g001430","Sobic.008G016200","Sobic.008G016200","C4P7T8","PTHR24343"
"Sb08g001940","Sb08g001940","Sobic.008G021800","Sobic.008G021800","C5YR27","PTHR31719"
"Sb08g002230","Sb08g002230","Sobic.008G025500","Sobic.008G025500","Q84YE3","PTHR31087"
"Sb08g002290","Sb08g002290","Sobic.008G026200","Sobic.008G026200","Q84YF1","PTHR23155"
"Sb08g002340","null","Sobic.008G026900","Sobic.008G026900","C5YR81",""
"Sb08g002350","null","Sobic.008G027000","Sobic.008G027000","C5YR83","PTHR23155"
"Sb08g002530","Sb08g002530","Sobic.008G028700","Sobic.008G028700","C5YRA3","PTHR22884"
"Sb08g002670","Sb08g002670","Sobic.008G030700","Sobic.008G030700","C5YRL0","PTHR33076"
"Sb08g002870","Sb08g002870","Sobic.008G033400","Sobic.008G033400","C5YRN6","PTHR32285"
"Sb08g002890","Sb08g002890","Sobic.008G033600","Sobic.008G033600","null",""
"Sb08g003160","Sb08g003160","Sobic.008G036600","Sobic.008G036600","C5YRR9","PTHR33065"
"Sb08g003180","Sb08g003180","Sobic.008G036900","Sobic.008G036900","C5YRS2","PTHR31003"
"Sb08g003870","Sb08g003870","Sobic.008G045300","Sobic.008G045300","C5YS87","PTHR33681"
"Sb08g004070","Sb08g004070","Sobic.008G047900","Sobic.008G047900","C5YSA7",""
"Sb08g004950","Sb08g004950","Sobic.008G058700","Sobic.008G058700","C5YT45","PTHR11040"
"Sb08g005300","Sb08g005300","Sobic.008G063500","Sobic.008G063500","null",""
"Sb08g005450","Sb08g005450","Sobic.008G065200","null","C5YTB0","PTHR27000"
"Sb08g005635","Sb08g005635","Sobic.008G067900","Sobic.008G067900","C5YTE7","PTHR13301"
"Sb08g005640","Sb08g005640","Sobic.008G068000","Sobic.008G068000","C5YTE8","PTHR13946"
"Sb08g006190","Sb08g006190","Sobic.008G070500","Sobic.008G070500","C5YTI0","PTHR10903"
"Sb08g007360","Sb08g007360","Sobic.008G079600","Sobic.008G079600","C5YTU9","PTHR22893"
"Sb08g013620","Sb08g013620","Sobic.008G094000","Sobic.008G094000","C5YNL0","PTHR10791"
"Sb08g014060","Sb08g014060","Sobic.008G094700","Sobic.008G094700","C5YNL7","PTHR31719"
"Sb08g014070","Sb08g014070","Sobic.008G095000","Sobic.008G095000","C5YNL9","PTHR31969"
"Sb08g014080","Sb08g014080","Sobic.008G095100","Sobic.008G095100","C5YNM0","PTHR10627"
"Sb08g014620","Sb08g014620","Sobic.008G096900","Sobic.008G096900","C5YNP5","PTHR31876"
"Sb08g015440","Sb08g015440","Sobic.008G102000","Sobic.008G102000","C5YNV7",""
"Sb08g016170","Sb08g016170","Sobic.008G106800","Sobic.008G106800","null",""
"Sb08g016190","Sb08g016190","Sobic.008G107000","Sobic.008G107000","C5YP12","PTHR33349"
"Sb08g016240","Sb08g016240","Sobic.008G107500","Sobic.008G107500","C5YP19","PTHR31221"
"Sb08g016910","Sb08g016910","Sobic.008G115500","Sobic.008G115500","C5YPA6","PTHR19957"
"Sb08g017240","Sb08g017240","Sobic.008G118700","Sobic.008G118700","C5YPE6","PTHR11972"
