"Version1","Version1.4","Version2.1","Version3.1","UniProt","PANTHER"
"Sb10g002950","Sb10g002950","Sobic.010G032700","Sobic.010G032700","C5Z3U7","PTHR11006"
"Sb10g002970","Sb10g002970","Sobic.010G033000","fe] 3, chloroplastic","C5Z3V1","PTHR11404"
"Sb10g003390","Sb10g003390","Sobic.010G038200","Sobic.010G038200","C5Z3Z5","PTHR28637"
"Sb10g003440","Sb10g003440","Sobic.010G038700","Sobic.010G038700","C5Z493","PTHR36755"
"Sb10g003550","Sb10g003550","Sobic.010G040100","Sobic.010G040100","null",""
"Sb10g003705","Sb10g003705","Sobic.010G042000","Sobic.010G042000","C5Z4B9","PTHR31264"
"Sb10g003750","Sb10g003750","Sobic.010G042600","Sobic.010G042600","C5Z4C5","PTHR11132"
"Sb10g003890","Sb10g003890","Sobic.010G044500","Sobic.010G044500","null",""
"Sb10g004100","Sb10g004100","Sobic.010G047100","Sobic.010G047100","C5XPA5","PTHR11426"
"Sb10g004110","Sb10g004110","Sobic.010G047200","Sobic.010G047200","C5XPA5","PTHR11426"
"Sb10g004150","Sb10g004150","Sobic.010G047600","Sobic.010G047600","C5Z4H1","PTHR31549"
"Sb10g004410","Sb10g004410","Sobic.010G050800","Sobic.010G050800","C5Z4U4","PTHR17630"
"Sb10g004540","Sb10g004540","Sobic.010G052200","Sobic.010G052200","C5Z4W3","PTHR10509"
"Sb10g004560","Sb10g004560","Sobic.010G052400","Sobic.010G052400","C5Z4W5","PTHR22884"
"Sb10g004590","Sb10g004590","Sobic.010G052700","Sobic.010G052700","C5Z4W8","PTHR31734"
"Sb10g004780","Sb10g004780","Sobic.010G054600","Sobic.010G054600","C5Z4Z4","PTHR11573"
"Sb10g004830","Sb10g004830","Sobic.010G055400","Sobic.010G055400","C5Z501","PTHR27005"
"Sb10g004960","Sb10g004960","Sobic.010G057400","Sobic.010G057400","C5Z5A6","PTHR31268"
"Sb10g005070","Sb10g005070","Sobic.010G058700","Sobic.010G058700","C5Z5C3","PTHR31099"
"Sb10g005100","Sb10g005100","Sobic.010G059200","Sobic.010G059200","C5Z5C5","PTHR11808"
"Sb10g005110","Sb10g005110","Sobic.010G059300","Sobic.010G059300","C5Z5C6","PTHR34559"
"Sb10g005220","Sb10g005220","Sobic.010G060300","Sobic.010G060300","C5Z5D9","PTHR10209"
"Sb10g005250","Sb10g005250","Sobic.010G060600","Sobic.010G060600","null",""
"Sb10g005260","Sb10g005260","Sobic.010G060700","Sobic.010G060701","C5Z5E2","PTHR14363"
"Sb10g005420","Sb10g005420","Sobic.010G062500","Sobic.010G062500","C5Z5G1","PTHR13832"
"Sb10g005520","Sb10g005520","Sobic.010G063900","Sobic.010G063900","C5Z5G9","PTHR31194"
"Sb10g005620","Sb10g005620","Sobic.010G065200","Sobic.010G065200","C5Z5I0","PTHR32254"
"Sb10g005650","Sb10g005650","Sobic.010G065500","Sobic.010G065500","C5Z5I4","PTHR16223"
"Sb10g005870","Sb10g005870","Sobic.010G067500","Sobic.010G067500","null",""
"Sb10g005880","Sb10g005880","Sobic.010G067600","Sobic.010G067600","C5Z5U7","PTHR19378"
"Sb10g005900","Sb10g005900","Sobic.010G067800","Sobic.010G067800","C5Z5U9","PTHR31585"
"Sb10g005910","Sb10g005910","Sobic.010G067900","Sobic.010G067900","C5Z5V0","PTHR10763"
"Sb10g005915","Sb10g005915","null","Sobic.010G067950","C5Z5V1","PTHR14741"
"Sb10g006120","Sb10g006120","Sobic.010G070000","Sobic.010G070000","C5Z5X0","PTHR24282"
"Sb10g006160","Sb10g006160","Sobic.010G070500","Sobic.010G070500","C5XAM5","PTHR10902"
"Sb10g006190","Sb10g006190","Sobic.010G070900","null","C5Z5X7","PTHR33210"
"Sb10g006230","Sb10g006230","Sobic.010G071300","Sobic.010G071300","C5Z5Y0","PTHR31707"
"Sb10g006240","Sb10g006240","Sobic.010G071400","Sobic.010G071400","C5Z5Y1","PTHR34206"
"Sb10g006430","Sb10g006430","Sobic.010G073500","acyl-carrier-protein] synthase i, chloroplastic","C5Z5Z9","PTHR11712"
"Sb10g006490","Sb10g006490","Sobic.010G074100","Sobic.010G074100","C5Z604","PTHR24015"
"Sb10g006530","Sb10g006530","Sobic.010G074600","Sobic.010G074600","C5Z608","PTHR33108"
"Sb10g006580","Sb10g006580","Sobic.010G075500","null","C5Z615",""
"Sb10g006670","Sb10g006670","Sobic.010G077000","Sobic.010G077000","C5Z6B9","PTHR27000"
"Sb10g006760","Sb10g006760","Sobic.010G077700","null","C5Z6C9",""
"Sb10g006790","Sb10g006790","Sobic.010G078200","Sobic.010G078200","C5Z6D3","PTHR34268"
"Sb10g006810","Sb10g006810","Sobic.010G078400","null","C5Z6D5","PTHR31602"
"Sb10g006820","Sb10g006820","Sobic.010G078700","Sobic.010G078700","C5Z6D6","PTHR24326"
"Sb10g006990","Sb10g006990","Sobic.010G080500","Sobic.010G080500","C5Z6F5","PTHR31009"
"Sb10g007010","Sb10g007010","Sobic.010G080900","Sobic.010G080900","C5Z6F8","PTHR24089"
"Sb10g007100","Sb10g007100","Sobic.010G081900","Sobic.010G081900","C5Z6G7","PTHR10094"
"Sb10g007150","Sb10g007150","Sobic.010G082400","null","C5Z6H3","PTHR31889"
"Sb10g007224","Sb10g007224","Sobic.010G083200","null","C5Z6I4","PTHR23024"
"Sb10g007300","Sb10g007300","Sobic.010G084300","Sobic.010G084300","C5Z6J5","PTHR22893"
"Sb10g007410","Sb10g007410","Sobic.010G085600","Sobic.010G085600","C5Z6V0","PTHR11071"
"Sb10g007430","Sb10g007430","Sobic.010G085800","Sobic.010G085800","C5Z6V2","PTHR34052"
"Sb10g007540","Sb10g007540","Sobic.010G087100","Sobic.010G087100","C5Z6W4","PTHR11630"
"Sb10g007690","Sb10g007690","Sobic.010G088700","Sobic.010G088700","C5Z6Y0","PTHR31279"
"Sb10g007700","Sb10g007700","Sobic.010G088800","Sobic.010G088800","C5Z6Y2","PTHR11926"
"Sb10g007730","Sb10g007730","Sobic.010G089200","Sobic.010G089200","C5Z6Y7",""
"Sb10g007780","Sb10g007780","Sobic.010G089700","Sobic.010G089700","C5Z6Z4","PTHR31657"
"Sb10g007800","Sb10g007800","Sobic.010G090100","Sobic.010G090100","C5Z6Z7","PTHR11931"
"Sb10g007930","Sb10g007930","Sobic.010G091200","Sobic.010G091200","C5Z713","PTHR13068"
"Sb10g008000","Sb10g008000","Sobic.010G091700","Sobic.010G091700","C5Z724","PTHR12565"
"Sb10g008060","Sb10g008060","Sobic.010G092400","Sobic.010G092400","C5Z730","PTHR32116"
"Sb10g008090","Sb10g008090","Sobic.010G092600","Sobic.010G092600","A9XHW6","PTHR19139"
"Sb10g008200","Sb10g008200","Sobic.010G093400","Sobic.010G093400","C5Z7D7","PTHR12526"
"Sb10g008280","Sb10g008280","Sobic.010G095000","Sobic.010G095000","C5Z7E8","PTHR10584"
"Sb10g008320","Sb10g008320","Sobic.010G095400","Sobic.010G095400","C5Z7F1","PTHR11819"
"Sb10g008340","Sb10g008340","Sobic.010G095600","null","null",""
"Sb10g008360","Sb10g008360","Sobic.010G095800","Sobic.010G095800","C5Z7F4","PTHR13902"
"Sb10g008380","Sb10g008380","Sobic.010G096100","Sobic.010G096100","C5Z7F5","PTHR24072"
"Sb10g008390","Sb10g008390","Sobic.010G096200","Sobic.010G096200","C5Z7F6","PTHR33699"
"Sb10g008430","Sb10g008430","Sobic.010G096700","Sobic.010G096700","C5Z7G1","PTHR32285"
"Sb10g008590","Sb10g008590","Sobic.010G098700","Sobic.010G098700","C5Z7I0","PTHR10359"
"Sb10g008650","Sb10g008650","Sobic.010G099400","Sobic.010G099400","C5Z7I6","PTHR10201"
"Sb10g008960","Sb10g008960","Sobic.010G102800","Sobic.010G102800","C5Z7W8","PTHR10217"
"Sb10g009040","Sb10g009040","Sobic.010G103700","Sobic.010G103700","C5Z7Y0","PTHR23061"
"Sb10g009120","Sb10g009120","Sobic.010G104400","Sobic.010G104400","C5Z7Z1","PTHR32080"
"Sb10g009230","Sb10g009230","Sobic.010G105400","Sobic.010G105400","C5Z803","PTHR14418"
"Sb10g009260","Sb10g009260","Sobic.010G106000","Sobic.010G106000","C5Z807","PTHR33544"
"Sb10g009290","Sb10g009290","Sobic.010G106300","Sobic.010G106300","C5Z810","PTHR23409"
"Sb10g009340","Sb10g009340","Sobic.010G106700","Sobic.010G106700","C5Z816","PTHR10209"
"Sb10g009560","Sb10g009560","Sobic.010G109500","Sobic.010G109500","C5Z843","PTHR33222"
"Sb10g009592","Sb10g009592","Sobic.010G110100","Sobic.010G110100","C5Z847","PTHR22952"
"Sb10g009600","Sb10g009600","Sobic.010G110500","Sobic.010G110500","C5Z851","PTHR24095"
"Sb10g009630","Sb10g009630","Sobic.010G110800","Sobic.010G110800","C5Z8E7","PTHR33021"
"Sb10g009640","Sb10g009640","Sobic.010G111200","Sobic.010G111200","C5Z8E8","PTHR23201"
"Sb10g009680","Sb10g009680","Sobic.010G111900","Sobic.010G111900","C5Z8F3","PTHR23023"
"Sb10g009790","Sb10g009790","Sobic.010G113000","Sobic.010G113000","null",""
"Sb10g010350","Sb10g010350","Sobic.010G117100","Sobic.010G117100","C5Z8L2","PTHR31676"
"Sb10g010360","null","Sobic.010G117200","Sobic.010G117200","C5Z8L4","PTHR31676"
"Sb10g010390","null","Sobic.010G117500","Sobic.010G117500","C5Z8L7","PTHR31676"
"Sb10g010410","Sb10g010410","Sobic.010G117800","Sobic.010G117800","C5Z8L9","PTHR31676"
"Sb10g010460","Sb10g010460","Sobic.010G118300","Sobic.010G118300","C5Z8M4","PTHR31741"
"Sb10g010530","Sb10g010530","Sobic.010G119300","Sobic.010G119300","C5Z8X6","PTHR27007"
"Sb10g010550","Sb10g010550","Sobic.010G119600","Sobic.010G119600","C5Z8X8","PTHR24177"
"Sb10g010570","Sb10g010570","Sobic.010G120000","Sobic.010G120000","C5Z8Y0","PTHR24177"
"Sb10g010590","Sb10g010590","Sobic.010G120200","Sobic.010G120200","C5Z8Y2","PTHR11926"
"Sb10g010610","Sb10g010610","Sobic.010G120400","Sobic.010G120400","C5Z8Y5","PTHR11926"
"Sb10g010780","Sb10g010780","Sobic.010G122400","Sobic.010G122400","C5Z904","PTHR24177"
"Sb10g010830","Sb10g010830","Sobic.010G123100","Sobic.010G123100","C5Z912","PTHR11132"
"Sb10g011060","Sb10g011060","Sobic.010G125400","Sobic.010G125400","C5Z948",""
"Sb10g011110","Sb10g011110","Sobic.010G126100","Sobic.010G126100","C5Z954","PTHR13683"
"Sb10g011530","Sb10g011530","Sobic.010G128700","Sobic.010G128700","C5Z1J6","PTHR31235"
"Sb10g012110","Sb10g012110","Sobic.010G131200","Sobic.010G131200","C5Z1M8","PTHR37372"
"Sb10g012190","Sb10g012190","Sobic.010G132000","Sobic.010G132000","C5Z1N4","PTHR34672"
"Sb10g012730","Sb10g012730","Sobic.010G133500","Sobic.010G133500","C5Z1R3","PTHR31500"
"Sb10g012750","Sb10g012750","Sobic.010G134000","Sobic.010G134000","null",""
"Sb10g013065","null","null","Sobic.010G136250","C5Z2A1","PTHR10896"
"Sb10g013280","Sb10g013280","Sobic.010G136500","Sobic.010G136500","C5Z2A6",""
"Sb10g014210","Sb10g014210","Sobic.010G138700","Sobic.010G138700","C5Z2D6","PTHR24015"
"Sb10g017800","Sb10g017800","Sobic.010G143300","Sobic.010G143300","C5Z314","PTHR31589"
"Sb10g017810","Sb10g017810","Sobic.010G143400","Sobic.010G143400","C5Z315",""
"Sb10g017820","Sb10g017820","Sobic.010G143500","Sobic.010G143500","C5Z316","PTHR22931"
"Sb10g018270","Sb10g018270","Sobic.010G143900","Sobic.010G143900","C5Z327","PTHR20961"
"Sb10g019680","Sb10g019680","Sobic.010G147200","Sobic.010G147200","C5Z362","PTHR31086"
"Sb10g019710","Sb10g019710","Sobic.010G147500","Sobic.010G147500","C5Z371","PTHR22854"
"Sb10g019730","Sb10g019730","Sobic.010G147700","Sobic.010G147700","C5Z373","PTHR19932"
"Sb10g020470","Sb10g020470","Sobic.010G152400","Sobic.010G152400","C5Z3L6","PTHR20961"
"Sb10g020590","Sb10g020590","null","Sobic.010G154150","C5Z3N2","PTHR35704"
"Sb10g020900","Sb10g020900","Sobic.010G155500","Sobic.010G155500","C5Z3P6","PTHR32227"
"Sb10g020920","Sb10g020920","Sobic.010G155800","Sobic.010G155800","C5Z3P8","PTHR32285"
"Sb10g020950","Sb10g020950","Sobic.010G156100","Sobic.010G156100","C5Z3Q1","PTHR22835"
"Sb10g021280","Sb10g021280","Sobic.010G160200","Sobic.010G160200","C5Z445",""
"Sb10g021360","Sb10g021360","Sobic.010G160900","Sobic.010G160900","C5Z454","PTHR31314"
"Sb10g021640","Sb10g021640","Sobic.010G161900","Sobic.010G161900","C5Z474","PTHR31388"
"Sb10g021650","Sb10g021650","Sobic.010G162000","Sobic.010G162000","C5Z475","PTHR31388"
"Sb10g021680","Sb10g021680","Sobic.010G162700","Sobic.010G162700","C5Z481","PTHR32448"
"Sb10g021880","Sb10g021880","Sobic.010G164900","Sobic.010G164900","C5Z4J9","PTHR21540"
"Sb10g021900","Sb10g021900","Sobic.010G165100","Sobic.010G165100","C5Z4K1","PTHR33700"
"Sb10g022110","Sb10g022110","Sobic.010G168200","Sobic.010G168200","C5Z4N3","PTHR31284"
"Sb10g022210","Sb10g022210","Sobic.010G169200","Sobic.010G169200","C5Z4P4","PTHR11850"
"Sb10g022310","Sb10g022310","Sobic.010G170400","Sobic.010G170400","C5Z4Q7","PTHR24301"
"Sb10g022430","Sb10g022430","Sobic.010G171800","Sobic.010G171800","C5Z513","PTHR11709"
"Sb10g022580","Sb10g022580","Sobic.010G173400","Sobic.010G173400","C5Z530","PTHR10071"
"Sb10g022620","Sb10g022620","Sobic.010G173800","Sobic.010G173800","C5Z534","PTHR23421"
"Sb10g022670","Sb10g022670","Sobic.010G174300","Sobic.010G174300","C5Z540","PTHR31549"
"Sb10g022870","Sb10g022870","Sobic.010G176800","Sobic.010G176800","C5Z565","PTHR19229"
"Sb10g022880","Sb10g022880","Sobic.010G176900","Sobic.010G176900","C5Z566","PTHR34468"
"Sb10g022910","Sb10g022910","Sobic.010G177300","Sobic.010G177300","C5Z570","PTHR27000"
"Sb10g023000","Sb10g023000","Sobic.010G178300","Sobic.010G178300","C5Z580","PTHR11699"
"Sb10g023050","Sb10g023050","Sobic.010G178900","Sobic.010G178900","C5Z587","PTHR11926"
"Sb10g023250","Sb10g023250","Sobic.010G181100","Sobic.010G181100","C5Z5J8","PTHR13789"
"Sb10g023290","Sb10g023290","Sobic.010G181500","Sobic.010G181500","C5Z5K2","PTHR31561"
"Sb10g023440","Sb10g023440","Sobic.010G183800","Sobic.010G183800","C5Z5L5","PTHR24031"
"Sb10g023500","Sb10g023500","Sobic.010G184500","Sobic.010G184500","C5Z5M2","PTHR11695"
"Sb10g023550","Sb10g023550","Sobic.010G184800","Sobic.010G184800","C5Z5M8","PTHR10720"
"Sb10g023650","Sb10g023650","Sobic.010G185800","Sobic.010G185800","C5Z5N9","PTHR33564"
"Sb10g023690","Sb10g023690","Sobic.010G186400","Sobic.010G186400","C5Z5P4","PTHR26312"
"Sb10g023710","Sb10g023710","Sobic.010G186700","Sobic.010G186700","C5Z5P7","PTHR32227"
"Sb10g023760","Sb10g023760","Sobic.010G187500","Sobic.010G187500","C5Z5Q2","PTHR23324"
"Sb10g023790","Sb10g023790","Sobic.010G187800","Sobic.010G187800","C5Z5Q5","PTHR33132"
"Sb10g023970","Sb10g023970","Sobic.010G189700","Sobic.010G189700","C5Z5S4","PTHR13683"
"Sb10g024100","Sb10g024100","Sobic.010G191000","Sobic.010G191000","C5Z627","PTHR15107"
"Sb10g024240","Sb10g024240","Sobic.010G192800","Sobic.010G192800","C5Z642","PTHR34483"
"Sb10g024250","Sb10g024250","Sobic.010G192900","Sobic.010G192900","C5Z644","PTHR34483"
"Sb10g024550","Sb10g024550","Sobic.010G196200","Sobic.010G196200","C5Z676","PTHR10795"
"Sb10g024570","Sb10g024570","Sobic.010G196400","Sobic.010G196400","C5Z678","PTHR21461"
"Sb10g024650","Sb10g024650","Sobic.010G197400","Sobic.010G197400","C5Z686","PTHR24015"
"Sb10g024663","Sb10g024663","Sobic.010G197700","Sobic.010G197700","C5Z688","PTHR24298"
"Sb10g024680","Sb10g024680","Sobic.010G198000","Sobic.010G198000","C5Z690","PTHR10314"
"Sb10g024970","Sb10g024970","Sobic.010G201600","Sobic.010G201600","C5Z6L3","PTHR34548"
"Sb10g025053","Sb10g025053","Sobic.010G202700","Sobic.010G202700","C5Z6M2","PTHR32467"
"Sb10g025110","Sb10g025110","Sobic.010G203600","Sobic.010G203600","C5Z6M8","PTHR24298"
"Sb10g025160","Sb10g025160","Sobic.010G204200","Sobic.010G204200","C5Z6N3","PTHR24298"
"Sb10g025210","Sb10g025210","Sobic.010G204700","Sobic.010G204700","C5Z6N9","PTHR31731"
"Sb10g025280","Sb10g025280","Sobic.010G205500","Sobic.010G205500","C5Z6P5","PTHR31998"
"Sb10g025330","Sb10g025330","Sobic.010G206000","Sobic.010G206000","C5Z6Q3","PTHR22950"
"Sb10g025360","Sb10g025360","Sobic.010G206400","Sobic.010G206400","C5Z6Q8","PTHR33915"
"Sb10g025520","Sb10g025520","Sobic.010G208400","Sobic.010G208400","C5Z6S5","PTHR11010"
"Sb10g025590","Sb10g025590","Sobic.010G209100","Sobic.010G209100","C5Z6T4","PTHR31429"
"Sb10g025650","Sb10g025650","Sobic.010G209800","Sobic.010G209800","C5Z6U0","PTHR31116"
"Sb10g025660","Sb10g025660","Sobic.010G209900","Sobic.010G209900","C5Z6U1","PTHR10185"
"Sb10g025970","Sb10g025970","Sobic.010G213100","Sobic.010G213100","C5Z766","PTHR23079"
"Sb10g026030","Sb10g026030","Sobic.010G213700","Sobic.010G213700","C5Z772","PTHR33228"
"Sb10g026040","Sb10g026040","Sobic.010G213800","Sobic.010G213800","C5Z773","PTHR33228"
"Sb10g026070","Sb10g026070","Sobic.010G214100","Sobic.010G214100","C5Z776","PTHR10996"
"Sb10g026080","Sb10g026080","Sobic.010G214200","Sobic.010G214200","C5Z777","PTHR24414"
"Sb10g026110","Sb10g026110","Sobic.010G214700","Sobic.010G214700","C5Z781","PTHR11552"
"Sb10g026160","Sb10g026160","Sobic.010G215300","Sobic.010G215300","C5Z786","PTHR24056"
"Sb10g026170","Sb10g026170","Sobic.010G215400","Sobic.010G215400","C5Z787","PTHR33416"
"Sb10g026200","Sb10g026200","Sobic.010G215700","Sobic.010G215700","C5Z790","PTHR31251"
"Sb10g026230","Sb10g026230","Sobic.010G216000","Sobic.010G216000","C5Z793","PTHR11977"
"Sb10g026300","Sb10g026300","Sobic.010G216700","Sobic.010G216700","C5Z7A0","PTHR31752"
"Sb10g026430","Sb10g026430","Sobic.010G218300","Sobic.010G218300","null",""
"Sb10g026460","Sb10g026460","Sobic.010G218600","Sobic.010G218600","C5Z7B7","PTHR27008"
"Sb10g026470","Sb10g026470","Sobic.010G218800","Sobic.010G218800","C5Z7B9","PTHR22835"
"Sb10g026530","Sb10g026530","Sobic.010G219600","Sobic.010G219600","null",""
"Sb10g026544","Sb10g026544","Sobic.010G219800","Sobic.010G219800","C5Z7C7","PTHR22765"
"Sb10g027000","Sb10g027000","Sobic.010G224800","Sobic.010G224800","C5Z7R9","PTHR23324"
"Sb10g027100","Sb10g027100","Sobic.010G227300","Sobic.010G227300","C5Z7T1","PTHR31744"
"Sb10g027110","Sb10g027110","Sobic.010G227400","null","C5Z7T2","PTHR22762"
"Sb10g027150","Sb10g027150","Sobic.010G228100","Sobic.010G228100","C5Z7T7","PTHR32241"
"Sb10g027250","null","Sobic.010G229600","Sobic.010G229600","C5Z7U8","PTHR31792"
"Sb10g027270","Sb10g027270","Sobic.010G230000","Sobic.010G230000","C5Z7V0","PTHR11709"
"Sb10g027290","Sb10g027290","Sobic.010G230300","Sobic.010G230300","C5Z7V3","PTHR11214"
"Sb10g027370","Sb10g027370","Sobic.010G231100","Sobic.010G231100","C5Z852","PTHR18966"
"Sb10g027380","Sb10g027380","Sobic.010G231200","Sobic.010G231200","C5Z853","PTHR31471"
"Sb10g027420","Sb10g027420","Sobic.010G231500","Sobic.010G231500","C5Z856","PTHR18966"
"Sb10g027430","Sb10g027430","Sobic.010G231600","Sobic.010G231600","C5Z857","PTHR24298"
"Sb10g027490","Sb10g027490","Sobic.010G232500","Sobic.010G232500","C5Z864","PTHR31235"
"Sb10g027580","Sb10g027580","Sobic.010G233700","null","C5Z875","PTHR22835"
"Sb10g027670","Sb10g027670","Sobic.010G234800","Sobic.010G234800","C5Z887","PTHR36386"
"Sb10g027710","Sb10g027710","Sobic.010G235300","Sobic.010G235300","C5Z892","PTHR31155"
"Sb10g027870","Sb10g027870","Sobic.010G237200","Sobic.010G237200","C5Z8B5","PTHR12161"
"Sb10g028020","Sb10g028020","Sobic.010G239500","Sobic.010G239500","C5Z8D4","PTHR10666"
"Sb10g028130","Sb10g028130","Sobic.010G241100","Sobic.010G241100","C5Z8P0","PTHR31048"
"Sb10g028280","Sb10g028280","Sobic.010G243000","Sobic.010G243000","C5Z8Q7","PTHR27001"
"Sb10g028380","Sb10g028380","Sobic.010G244500","Sobic.010G244500","C5Z8R4","PTHR33167"
"Sb10g028560","Sb10g028560","Sobic.010G246500","Sobic.010G246500","C5Z8T3","PTHR31062"
"Sb10g028580","Sb10g028580","Sobic.010G246700","Sobic.010G246700","C5Z8T5","PTHR31062"
"Sb10g028720","Sb10g028720","Sobic.010G248900","Sobic.010G248900","C5Z8U9",""
"Sb10g028870","Sb10g028870","Sobic.010G250400","Sobic.010G250400","C5Z8W4","PTHR10795"
"Sb10g029125","Sb10g029125","Sobic.010G253200","Sobic.010G253200","C5Z980","PTHR10457"
"Sb10g029190","Sb10g029190","Sobic.010G254200","Sobic.010G254200","C5Z989","PTHR31251"
"Sb10g029200","Sb10g029200","Sobic.010G254300","Sobic.010G254300","C5Z991",""
"Sb10g029260","Sb10g029260","Sobic.010G255000","Sobic.010G255000","C5Z998","PTHR32093"
"Sb10g029360","Sb10g029360","Sobic.010G256400","Sobic.010G256400","C5Z9B0","PTHR20961"
"Sb10g029540","Sb10g029540","Sobic.010G258700","Sobic.010G258700","C5Z9D2","PTHR11811"
"Sb10g029570","Sb10g029570","Sobic.010G259200","Sobic.010G259200","C5Z9D4","PTHR31852"
"Sb10g029740","Sb10g029740","Sobic.010G261200","Sobic.010G261200","C5Z9F1","PTHR33044"
"Sb10g030180","Sb10g030180","Sobic.010G266800","Sobic.010G266800","C5Z1V8","PTHR12570"
"Sb10g030270","Sb10g030270","Sobic.010G267700","Sobic.010G267700","C5Z1W7","PTHR27000"
"Sb10g030470","Sb10g030470","Sobic.010G269700","Sobic.010G269700","C5Z1Y7","PTHR31945"
"Sb10g030475","Sb10g030475","Sobic.010G269800","Sobic.010G269800","C5Z1Y8","PTHR11139"
"Sb10g030480","null","Sobic.010G269900","Sobic.010G269950","C5Z1Y9","PTHR12542"
"Sb10g030500","Sb10g030500","Sobic.010G270100","Sobic.010G270100","C5Z1Z1","PTHR32212"
"Sb10g030560","Sb10g030560","Sobic.010G270800","Sobic.010G270800","C5Z1Z7","PTHR22835"
"Sb10g030575","Sb10g030575","Sobic.010G271000","Sobic.010G271000","C5Z1Z8","PTHR31692"
"Sb10g030590","Sb10g030590","Sobic.010G271200","Sobic.010G271200","C5Z200","PTHR33070"
"Sb10g030776","Sb10g030776","Sobic.010G273800","Sobic.010G273800","C5Z2I9","PTHR10357"
"Sb10g030790","Sb10g030790","Sobic.010G274000","Sobic.010G274000","C5Z2J1","PTHR10177"
"Sb10g030800","Sb10g030800","Sobic.010G274100","Sobic.010G274100","C5Z2J2","PTHR23315"
"Sb10g030970","Sb10g030970","Sobic.010G275800","Sobic.010G275800","C5Z2K6","PTHR12741"
"Sb10g031030","Sb10g031030","Sobic.010G276600","Sobic.010G276600","C5Z2L1","PTHR22891"
"Sb10g031040","Sb10g031040","Sobic.010G276700","Sobic.010G276700","null",""
"Sb10g031080","Sb10g031080","Sobic.010G277200","Sobic.010G277200","C5Z2L5","PTHR13220"
"Sb10g031100","Sb10g031100","Sobic.010G277400","Sobic.010G277400","C5Z2L6","PTHR23201"
"Sb09g000300","Sb09g000300","Sobic.009G001000","Sobic.009G001000","C5YXX8","PTHR30231"
"Sb09g000520","Sb09g000520","Sobic.009G003600","Sobic.009G003600","C5YY03","PTHR22893"
"Sb09g000710","Sb09g000710","Sobic.009G005700","Sobic.009G005700","C5YY28","PTHR22870"
"Sb09g000770","Sb09g000770","Sobic.009G006300","Sobic.009G006300","C5YY32","PTHR31218"
