GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0006096	P	glycolytic process	16	982	46	15420	4.9e-07	6.2e-05	// Sobic.010G041400 // Sobic.003G393900 // Sobic.001G071800 // Sobic.004G234100 // Sobic.007G101800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.010G101600 // Sobic.005G034400 // Sobic.006G267200 // Sobic.010G221800 
GO:0044712	P	single-organism catabolic process	20	982	79	15420	1.3e-06	0.00016	// Sobic.003G393900 // Sobic.010G041400 // Sobic.010G105800 // Sobic.001G071800 // Sobic.001G384100 // Sobic.004G234100 // Sobic.007G101800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.003G336000 // Sobic.010G101600 // Sobic.005G034400 // Sobic.010G001600 // Sobic.006G267200 // Sobic.010G221800 
GO:0006165	P	nucleoside diphosphate phosphorylation	16	982	52	15420	1.9e-06	0.00019	// Sobic.010G041400 // Sobic.003G393900 // Sobic.001G071800 // Sobic.004G234100 // Sobic.007G101800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.010G101600 // Sobic.005G034400 // Sobic.006G267200 // Sobic.010G221800 
GO:0046939	P	nucleotide phosphorylation	16	982	52	15420	1.9e-06	0.00019	// Sobic.010G041400 // Sobic.003G393900 // Sobic.001G071800 // Sobic.004G234100 // Sobic.007G101800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.010G101600 // Sobic.005G034400 // Sobic.006G267200 // Sobic.010G221800 
GO:0009765	P	photosynthesis, light harvesting	10	982	18	15420	2.8e-06	0.00026	// Sobic.006G264201 // Sobic.002G289100 // Sobic.002G352100 // Sobic.007G136900 // Sobic.003G209900 // Sobic.002G215000 // Sobic.003G209800 // Sobic.001G177000 // Sobic.002G339200 // Sobic.002G288300 
GO:0009132	P	nucleoside diphosphate metabolic process	16	982	55	15420	3.4e-06	0.0003	// Sobic.010G041400 // Sobic.003G393900 // Sobic.001G071800 // Sobic.004G234100 // Sobic.007G101800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.010G101600 // Sobic.005G034400 // Sobic.006G267200 // Sobic.010G221800 
GO:0046496	P	nicotinamide nucleotide metabolic process	16	982	60	15420	8.7e-06	0.00068	// Sobic.010G041400 // Sobic.003G393900 // Sobic.001G071800 // Sobic.004G234100 // Sobic.007G101800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.010G101600 // Sobic.005G034400 // Sobic.006G267200 // Sobic.010G221800 
GO:0019362	P	pyridine nucleotide metabolic process	16	982	60	15420	8.7e-06	0.00068	// Sobic.010G041400 // Sobic.003G393900 // Sobic.001G071800 // Sobic.004G234100 // Sobic.007G101800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.010G101600 // Sobic.005G034400 // Sobic.006G267200 // Sobic.010G221800 
GO:0044723	P	single-organism carbohydrate metabolic process	34	982	221	15420	9.7e-06	0.00072	// Sobic.010G041400 // Sobic.001G071800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.004G190800 // Sobic.006G140200 // Sobic.007G126100 // Sobic.004G234100 // Sobic.009G198900 // Sobic.001G391300 // Sobic.004G164800 // Sobic.005G034400 // Sobic.002G184600 // Sobic.009G146000 // Sobic.003G393900 // Sobic.010G101600 // Sobic.001G384100 // Sobic.007G101800 // Sobic.004G146000 // Sobic.003G296000 // Sobic.001G269100 // Sobic.006G267200 // Sobic.003G336000 // Sobic.002G194700 // Sobic.006G030800 // Sobic.001G353300 // Sobic.008G033600 // Sobic.010G072300 // Sobic.004G325900 // Sobic.001G344500 // Sobic.010G221800 
GO:0006733	P	oxidoreduction coenzyme metabolic process	16	982	61	15420	1e-05	0.00073	// Sobic.010G041400 // Sobic.003G393900 // Sobic.001G071800 // Sobic.004G234100 // Sobic.007G101800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.010G101600 // Sobic.005G034400 // Sobic.006G267200 // Sobic.010G221800 
GO:2001141	P	regulation of RNA biosynthetic process	100	982	997	15420	1.4e-05	0.00077	// Sobic.010G045700 // Sobic.006G120301 // Sobic.010G218500 // Sobic.009G237600 // Sobic.009G141500 // Sobic.004G336500 // Sobic.004G300300 // Sobic.001G423400 // Sobic.008G107500 // Sobic.008G021800 // Sobic.004G233200 // Sobic.001G486000 // Sobic.007G188701 // Sobic.003G341100 // Sobic.006G218300 // Sobic.005G117400 // Sobic.006G149600 // Sobic.003G000600 // Sobic.004G065900 // Sobic.010G016500 // Sobic.002G247300 // Sobic.006G163900 // Sobic.008G094700 // Sobic.004G031600 // Sobic.010G052600 // Sobic.004G190900 // Sobic.009G065000 // Sobic.004G295500 // Sobic.010G215100 // Sobic.009G100500 // Sobic.009G238500 // Sobic.002G225700 // Sobic.006G240500 // Sobic.001G206300 // Sobic.004G214300 // Sobic.006G162800 // Sobic.001G075900 // Sobic.003G121400 // Sobic.009G151600 // Sobic.002G225300 // Sobic.003G334600 // Sobic.005G064600 // Sobic.003G248400 // Sobic.009G221400 // Sobic.003G324500 // Sobic.001G447400 // Sobic.004G176600 // Sobic.007G162700 // Sobic.001G481600 // Sobic.001G389000 // Sobic.004G101400 // Sobic.009G238200 // Sobic.009G111200 // Sobic.007G156700 // Sobic.001G040200 // Sobic.009G184400 // Sobic.006G167800 // Sobic.002G420700 // Sobic.003G333300 // Sobic.002G415600 // Sobic.007G180300 // Sobic.007G109900 // Sobic.007G083300 // Sobic.002G081300 // Sobic.006G058732 // Sobic.004G037800 // Sobic.001G314900 // Sobic.003G286700 // Sobic.003G369100 // Sobic.009G142200 // Sobic.010G275200 // Sobic.003G078100 // Sobic.005G018500 // Sobic.003G324400 // Sobic.004G041600 // Sobic.006G245500 // Sobic.003G194400 // Sobic.009G247300 // Sobic.007G181500 // Sobic.004G191700 // Sobic.009G208000 // Sobic.006G170100 // Sobic.006G206000 // Sobic.003G295900 // Sobic.001G030200 // Sobic.005G041000 // Sobic.007G118301 // Sobic.003G265200 // Sobic.003G148600 // Sobic.003G379700 // Sobic.004G138400 // Sobic.007G061100 // Sobic.003G254900 // Sobic.003G395400 // Sobic.003G363400 // Sobic.001G044300 // Sobic.003G298600 // Sobic.005G051200 // Sobic.004G201600 // Sobic.002G354600 
GO:0006355	P	regulation of transcription, DNA-templated	100	982	997	15420	1.4e-05	0.00077	// Sobic.010G045700 // Sobic.006G120301 // Sobic.010G218500 // Sobic.009G237600 // Sobic.009G141500 // Sobic.004G336500 // Sobic.004G300300 // Sobic.001G423400 // Sobic.008G107500 // Sobic.008G021800 // Sobic.004G233200 // Sobic.001G486000 // Sobic.007G188701 // Sobic.003G341100 // Sobic.006G218300 // Sobic.005G117400 // Sobic.006G149600 // Sobic.003G000600 // Sobic.004G065900 // Sobic.010G016500 // Sobic.002G247300 // Sobic.006G163900 // Sobic.008G094700 // Sobic.004G031600 // Sobic.010G052600 // Sobic.004G190900 // Sobic.009G065000 // Sobic.004G295500 // Sobic.010G215100 // Sobic.009G100500 // Sobic.009G238500 // Sobic.002G225700 // Sobic.006G240500 // Sobic.001G206300 // Sobic.004G214300 // Sobic.006G162800 // Sobic.001G075900 // Sobic.003G121400 // Sobic.009G151600 // Sobic.002G225300 // Sobic.003G334600 // Sobic.005G064600 // Sobic.003G248400 // Sobic.009G221400 // Sobic.003G324500 // Sobic.001G447400 // Sobic.004G176600 // Sobic.007G162700 // Sobic.001G481600 // Sobic.001G389000 // Sobic.004G101400 // Sobic.009G238200 // Sobic.009G111200 // Sobic.007G156700 // Sobic.001G040200 // Sobic.009G184400 // Sobic.006G167800 // Sobic.002G420700 // Sobic.003G333300 // Sobic.002G415600 // Sobic.007G180300 // Sobic.007G109900 // Sobic.007G083300 // Sobic.002G081300 // Sobic.006G058732 // Sobic.004G037800 // Sobic.001G314900 // Sobic.003G286700 // Sobic.003G369100 // Sobic.009G142200 // Sobic.010G275200 // Sobic.003G078100 // Sobic.005G018500 // Sobic.003G324400 // Sobic.004G041600 // Sobic.006G245500 // Sobic.003G194400 // Sobic.009G247300 // Sobic.007G181500 // Sobic.004G191700 // Sobic.009G208000 // Sobic.006G170100 // Sobic.006G206000 // Sobic.003G295900 // Sobic.001G030200 // Sobic.005G041000 // Sobic.007G118301 // Sobic.003G265200 // Sobic.003G148600 // Sobic.003G379700 // Sobic.004G138400 // Sobic.007G061100 // Sobic.003G254900 // Sobic.003G395400 // Sobic.003G363400 // Sobic.001G044300 // Sobic.003G298600 // Sobic.005G051200 // Sobic.004G201600 // Sobic.002G354600 
GO:1903506	P	regulation of nucleic acid-templated transcription	100	982	997	15420	1.4e-05	0.00077	// Sobic.010G045700 // Sobic.006G120301 // Sobic.010G218500 // Sobic.009G237600 // Sobic.009G141500 // Sobic.004G336500 // Sobic.004G300300 // Sobic.001G423400 // Sobic.008G107500 // Sobic.008G021800 // Sobic.004G233200 // Sobic.001G486000 // Sobic.007G188701 // Sobic.003G341100 // Sobic.006G218300 // Sobic.005G117400 // Sobic.006G149600 // Sobic.003G000600 // Sobic.004G065900 // Sobic.010G016500 // Sobic.002G247300 // Sobic.006G163900 // Sobic.008G094700 // Sobic.004G031600 // Sobic.010G052600 // Sobic.004G190900 // Sobic.009G065000 // Sobic.004G295500 // Sobic.010G215100 // Sobic.009G100500 // Sobic.009G238500 // Sobic.002G225700 // Sobic.006G240500 // Sobic.001G206300 // Sobic.004G214300 // Sobic.006G162800 // Sobic.001G075900 // Sobic.003G121400 // Sobic.009G151600 // Sobic.002G225300 // Sobic.003G334600 // Sobic.005G064600 // Sobic.003G248400 // Sobic.009G221400 // Sobic.003G324500 // Sobic.001G447400 // Sobic.004G176600 // Sobic.007G162700 // Sobic.001G481600 // Sobic.001G389000 // Sobic.004G101400 // Sobic.009G238200 // Sobic.009G111200 // Sobic.007G156700 // Sobic.001G040200 // Sobic.009G184400 // Sobic.006G167800 // Sobic.002G420700 // Sobic.003G333300 // Sobic.002G415600 // Sobic.007G180300 // Sobic.007G109900 // Sobic.007G083300 // Sobic.002G081300 // Sobic.006G058732 // Sobic.004G037800 // Sobic.001G314900 // Sobic.003G286700 // Sobic.003G369100 // Sobic.009G142200 // Sobic.010G275200 // Sobic.003G078100 // Sobic.005G018500 // Sobic.003G324400 // Sobic.004G041600 // Sobic.006G245500 // Sobic.003G194400 // Sobic.009G247300 // Sobic.007G181500 // Sobic.004G191700 // Sobic.009G208000 // Sobic.006G170100 // Sobic.006G206000 // Sobic.003G295900 // Sobic.001G030200 // Sobic.005G041000 // Sobic.007G118301 // Sobic.003G265200 // Sobic.003G148600 // Sobic.003G379700 // Sobic.004G138400 // Sobic.007G061100 // Sobic.003G254900 // Sobic.003G395400 // Sobic.003G363400 // Sobic.001G044300 // Sobic.003G298600 // Sobic.005G051200 // Sobic.004G201600 // Sobic.002G354600 
GO:0051252	P	regulation of RNA metabolic process	100	982	998	15420	1.4e-05	0.00077	// Sobic.010G045700 // Sobic.006G120301 // Sobic.010G218500 // Sobic.009G237600 // Sobic.009G141500 // Sobic.004G336500 // Sobic.004G300300 // Sobic.001G423400 // Sobic.008G107500 // Sobic.008G021800 // Sobic.004G233200 // Sobic.001G486000 // Sobic.007G188701 // Sobic.003G341100 // Sobic.006G218300 // Sobic.005G117400 // Sobic.006G149600 // Sobic.003G000600 // Sobic.004G065900 // Sobic.010G016500 // Sobic.002G247300 // Sobic.006G163900 // Sobic.008G094700 // Sobic.004G031600 // Sobic.010G052600 // Sobic.004G190900 // Sobic.009G065000 // Sobic.004G295500 // Sobic.010G215100 // Sobic.009G100500 // Sobic.009G238500 // Sobic.002G225700 // Sobic.006G240500 // Sobic.001G206300 // Sobic.004G214300 // Sobic.006G162800 // Sobic.001G075900 // Sobic.003G121400 // Sobic.009G151600 // Sobic.002G225300 // Sobic.003G334600 // Sobic.005G064600 // Sobic.003G248400 // Sobic.009G221400 // Sobic.003G324500 // Sobic.001G447400 // Sobic.004G176600 // Sobic.007G162700 // Sobic.001G481600 // Sobic.001G389000 // Sobic.004G101400 // Sobic.009G238200 // Sobic.009G111200 // Sobic.007G156700 // Sobic.001G040200 // Sobic.009G184400 // Sobic.006G167800 // Sobic.002G420700 // Sobic.003G333300 // Sobic.002G415600 // Sobic.007G180300 // Sobic.007G109900 // Sobic.007G083300 // Sobic.002G081300 // Sobic.006G058732 // Sobic.004G037800 // Sobic.001G314900 // Sobic.003G286700 // Sobic.003G369100 // Sobic.009G142200 // Sobic.010G275200 // Sobic.003G078100 // Sobic.005G018500 // Sobic.003G324400 // Sobic.004G041600 // Sobic.006G245500 // Sobic.003G194400 // Sobic.009G247300 // Sobic.007G181500 // Sobic.004G191700 // Sobic.009G208000 // Sobic.006G170100 // Sobic.006G206000 // Sobic.003G295900 // Sobic.001G030200 // Sobic.005G041000 // Sobic.007G118301 // Sobic.003G265200 // Sobic.003G148600 // Sobic.003G379700 // Sobic.004G138400 // Sobic.007G061100 // Sobic.003G254900 // Sobic.003G395400 // Sobic.003G363400 // Sobic.001G044300 // Sobic.003G298600 // Sobic.005G051200 // Sobic.004G201600 // Sobic.002G354600 
GO:0072524	P	pyridine-containing compound metabolic process	16	982	62	15420	1.2e-05	0.00077	// Sobic.010G041400 // Sobic.003G393900 // Sobic.001G071800 // Sobic.004G234100 // Sobic.007G101800 // Sobic.009G204601 // Sobic.003G130800 // Sobic.004G055200 // Sobic.009G071800 // Sobic.002G026300 // Sobic.008G033600 // Sobic.004G146000 // Sobic.010G101600 // Sobic.005G034400 // Sobic.006G267200 // Sobic.010G221800 
GO:0019219	P	regulation of nucleobase-containing compound metabolic process	101	982	1011	15420	1.4e-05	0.00077	// Sobic.010G045700 // Sobic.006G120301 // Sobic.010G218500 // Sobic.009G237600 // Sobic.009G141500 // Sobic.004G336500 // Sobic.004G300300 // Sobic.001G423400 // Sobic.008G107500 // Sobic.008G021800 // Sobic.004G233200 // Sobic.001G486000 // Sobic.007G188701 // Sobic.003G341100 // Sobic.006G218300 // Sobic.005G117400 // Sobic.006G149600 // Sobic.003G000600 // Sobic.004G065900 // Sobic.010G016500 // Sobic.002G247300 // Sobic.006G163900 // Sobic.008G094700 // Sobic.004G031600 // Sobic.010G052600 // Sobic.004G190900 // Sobic.009G065000 // Sobic.004G295500 // Sobic.010G215100 // Sobic.009G100500 // Sobic.009G238500 // Sobic.002G225700 // Sobic.006G240500 // Sobic.001G206300 // Sobic.004G214300 // Sobic.006G162800 // Sobic.001G075900 // Sobic.003G121400 // Sobic.009G151600 // Sobic.002G225300 // Sobic.003G334600 // Sobic.005G064600 // Sobic.003G248400 // Sobic.009G221400 // Sobic.003G324500 // Sobic.001G447400 // Sobic.004G176600 // Sobic.007G162700 // Sobic.001G481600 // Sobic.001G389000 // Sobic.004G101400 // Sobic.009G238200 // Sobic.009G111200 // Sobic.007G156700 // Sobic.001G040200 // Sobic.009G184400 // Sobic.006G167800 // Sobic.002G420700 // Sobic.003G333300 // Sobic.002G415600 // Sobic.007G180300 // Sobic.007G109900 // Sobic.007G083300 // Sobic.002G081300 // Sobic.006G058732 // Sobic.004G037800 // Sobic.001G314900 // Sobic.003G286700 // Sobic.003G369100 // Sobic.009G142200 // Sobic.010G275200 // Sobic.003G078100 // Sobic.005G018500 // Sobic.003G324400 // Sobic.004G041600 // Sobic.006G245500 // Sobic.003G194400 // Sobic.009G247300 // Sobic.007G181500 // Sobic.004G191700 // Sobic.009G208000 // Sobic.006G170100 // Sobic.006G206000 // Sobic.003G295900 // Sobic.001G030200 // Sobic.005G041000 // Sobic.007G118301 // Sobic.003G265200 // Sobic.003G148600 // Sobic.003G379700 // Sobic.004G138400 // Sobic.007G061100 // Sobic.003G254900 // Sobic.003G395400 // Sobic.003G363400 // Sobic.004G166400 // Sobic.001G044300 // Sobic.003G298600 // Sobic.005G051200 // Sobic.004G201600 // Sobic.002G354600 
GO:0097659	P	nucleic acid-templated transcription	108	982	1120	15420	2.8e-05	0.0014	// Sobic.010G045700 // Sobic.006G120301 // Sobic.005G049000 // Sobic.010G218500 // Sobic.009G237600 // Sobic.009G141500 // Sobic.004G336500 // Sobic.004G300300 // Sobic.001G423400 // Sobic.008G107500 // Sobic.009G230000 // Sobic.008G021800 // Sobic.004G233200 // Sobic.001G486000 // Sobic.007G188701 // Sobic.003G341100 // Sobic.006G218300 // Sobic.005G117400 // Sobic.006G149600 // Sobic.003G000600 // Sobic.004G065900 // Sobic.003G062200 // Sobic.010G016500 // Sobic.002G394400 // Sobic.002G247300 // Sobic.006G163900 // Sobic.008G094700 // Sobic.004G031600 // Sobic.010G052600 // Sobic.004G190900 // Sobic.009G065000 // Sobic.004G295500 // Sobic.010G215100 // Sobic.009G100500 // Sobic.009G238500 // Sobic.002G225700 // Sobic.006G240500 // Sobic.001G206300 // Sobic.004G214300 // Sobic.006G162800 // Sobic.001G075900 // Sobic.003G121400 // Sobic.003G145400 // Sobic.009G151600 // Sobic.002G225300 // Sobic.003G334600 // Sobic.005G064600 // Sobic.003G248400 // Sobic.009G221400 // Sobic.003G324500 // Sobic.001G447400 // Sobic.004G176600 // Sobic.007G162700 // Sobic.001G481600 // Sobic.001G389000 // Sobic.004G101400 // Sobic.003G302466 // Sobic.009G238200 // Sobic.004G088200 // Sobic.009G111200 // Sobic.007G156700 // Sobic.001G040200 // Sobic.009G184400 // Sobic.006G167800 // Sobic.002G420700 // Sobic.003G333300 // Sobic.002G415600 // Sobic.007G180300 // Sobic.007G109900 // Sobic.007G083300 // Sobic.002G081300 // Sobic.006G058732 // Sobic.004G037800 // Sobic.009G028300 // Sobic.001G314900 // Sobic.003G286700 // Sobic.003G369100 // Sobic.009G142200 // Sobic.010G275200 // Sobic.003G078100 // Sobic.005G018500 // Sobic.003G324400 // Sobic.004G041600 // Sobic.006G245500 // Sobic.003G194400 // Sobic.009G247300 // Sobic.007G181500 // Sobic.004G191700 // Sobic.009G208000 // Sobic.006G170100 // Sobic.006G206000 // Sobic.003G295900 // Sobic.001G030200 // Sobic.005G041000 // Sobic.007G118301 // Sobic.003G265200 // Sobic.003G148600 // Sobic.003G379700 // Sobic.004G138400 // Sobic.007G061100 // Sobic.003G254900 // Sobic.003G395400 // Sobic.003G363400 // Sobic.001G044300 // Sobic.003G298600 // Sobic.005G051200 // Sobic.004G201600 // Sobic.002G354600 
GO:0006351	P	transcription, DNA-templated	108	982	1120	15420	2.8e-05	0.0014	// Sobic.010G045700 // Sobic.006G120301 // Sobic.005G049000 // Sobic.010G218500 // Sobic.009G237600 // Sobic.009G141500 // Sobic.004G336500 // Sobic.004G300300 // Sobic.001G423400 // Sobic.008G107500 // Sobic.009G230000 // Sobic.008G021800 // Sobic.004G233200 // Sobic.001G486000 // Sobic.007G188701 // Sobic.003G341100 // Sobic.006G218300 // Sobic.005G117400 // Sobic.006G149600 // Sobic.003G000600 // Sobic.004G065900 // Sobic.003G062200 // Sobic.010G016500 // Sobic.002G394400 // Sobic.002G247300 // Sobic.006G163900 // Sobic.008G094700 // Sobic.004G031600 // Sobic.010G052600 // Sobic.004G190900 // Sobic.009G065000 // Sobic.004G295500 // Sobic.010G215100 // Sobic.009G100500 // Sobic.009G238500 // Sobic.002G225700 // Sobic.006G240500 // Sobic.001G206300 // Sobic.004G214300 // Sobic.006G162800 // Sobic.001G075900 // Sobic.003G121400 // Sobic.003G145400 // Sobic.009G151600 // Sobic.002G225300 // Sobic.003G334600 // Sobic.005G064600 // Sobic.003G248400 // Sobic.009G221400 // Sobic.003G324500 // Sobic.001G447400 // Sobic.004G176600 // Sobic.007G162700 // Sobic.001G481600 // Sobic.001G389000 // Sobic.004G101400 // Sobic.003G302466 // Sobic.009G238200 // Sobic.004G088200 // Sobic.009G111200 // Sobic.007G156700 // Sobic.001G040200 // Sobic.009G184400 // Sobic.006G167800 // Sobic.002G420700 // Sobic.003G333300 // Sobic.002G415600 // Sobic.007G180300 // Sobic.007G109900 // Sobic.007G083300 // Sobic.002G081300 // Sobic.006G058732 // Sobic.004G037800 // Sobic.009G028300 // Sobic.001G314900 // Sobic.003G286700 // Sobic.003G369100 // Sobic.009G142200 // Sobic.010G275200 // Sobic.003G078100 // Sobic.005G018500 // Sobic.003G324400 // Sobic.004G041600 // Sobic.006G245500 // Sobic.003G194400 // Sobic.009G247300 // Sobic.007G181500 // Sobic.004G191700 // Sobic.009G208000 // Sobic.006G170100 // Sobic.006G206000 // Sobic.003G295900 // Sobic.001G030200 // Sobic.005G041000 // Sobic.007G118301 // Sobic.003G265200 // Sobic.003G148600 // Sobic.003G379700 // Sobic.004G138400 // Sobic.007G061100 // Sobic.003G254900 // Sobic.003G395400 // Sobic.003G363400 // Sobic.001G044300 // Sobic.003G298600 // Sobic.005G051200 // Sobic.004G201600 // Sobic.002G354600 
